item_title, company_name, item_price, item_shipping
devil may cry 4 xbox 360,Capcom,43.72,0
Call of Duty 2 - Xbox 360,Activision,44.15,0
Prototype 2 Xbox 360 Game,Activision,44.12,0
FIFA 17 - Xbox 360,Electronic Arts,44.11,0
Disney Infinity 3.0 Edition Starter Pack Bundle - Amazon Exclusive - Wii U,NA,16.99,7.99
Skylanders SWAP Force Starter Pack - Xbox 360,Activision,46.51,0
Madden NFL 15 Ultimate Edition Xbox 360,Electronic Arts,32.99,Special Shipping
CSI: CRIME SCENE INVESTIGATION: FATAL CONSPIRACY Xbox 360 Game,Ubisoft,47.65,0
Saints Row (Platinum Hits),THQ,47.68,0
LEGO Harry Potter: Years 5-7 - Nintendo Wii,Warner Brothers,43.68,0
F1 Race Stars,Warner Brothers,22.98,0
Halo - Reach (French Version Only) Xbox360 New,Microsoft,42.99,0
peanuts movie: snoopy's grand adventure xbox 360,Activision,42.98,0
Tom Clancy's Splinter Cell Conviction Xbox 360,Ubisoft,42.96,0
Dragon Ball Z Budokai HD Collection - Xbox 360,NA,42.86,0
Overlord - Xbox 360,Codemasters,48.59,0
DeathSmiles Xbox 360 Game,Aksys Games,42.75,0
Shaun White Snowboarding Xbox 360 Game,Ubisoft,48.74,0
Fable Anniversary,Microsoft,48.87,0
call of duty: black ops ii| xbox 360,Activision,48.88,0
Harry Potter and the Deathly Hallows Part 2 Xbox 360 Game,Electronic Arts,50.11,0
Rio - Xbox 360,Nordic Games Publishing,42.25,0
National Geographic Challenge Xbox 360 Game,NA,42.47,0
[XBOX360 Game] Knights Contract _ EN Asia version,NA,48.99,0
Electronic Arts 19620 The sims 3 pets x360,Electronic Arts,42.20,0
Batman: Arkham Origins Xbox 360,Warner Brothers,45.29,0
Phineas and Ferb: Quest for Cool Stuff - Xbox 360,MAJESCO,49.42,0
Mass Effect Trilogy - Xbox 360,Electronic Arts,38.94,0
COD: World at War X360,Activision,41.79,0
MICROSOFT RK2-00001 Forza 6  Xbox One,Microsoft,41.71,0
Microsoft MIC#RK200001 Forza 6  Xbox One,Microsoft,41.71,0
Star Ocean: Last Hope Xbox 360 Game,SQUARE ENIX USA,41.70,0
DuckTales - Remastered 360 - Xbox 360,Capcom,49.74,0
Just Dance 2015 Xbox 360,Ubisoft,13.99,0
